rh.aparc.DKTatlas.area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
sub-3172	1148.0	2119.0	2030.0	345.0	3060.0	5715.0	3264.0	930.0	5122.0	3167.0	3145.0	1525.0	4200.0	593.0	1631.0	1636.0	940.0	1670.0	1640.0	4214.0	1370.0	4900.0	3780.0	1161.0	4572.0	8838.0	4445.0	4793.0	2938.0	318.0	2083.0	87294.9	1103831.0	1645046.07471
sub-3188	787.0	1621.0	1678.0	322.0	2609.0	4831.0	2811.0	807.0	4224.0	2687.0	2967.0	1301.0	3851.0	696.0	1647.0	1135.0	619.0	1099.0	1390.0	4277.0	1119.0	4233.0	3849.0	695.0	2882.0	7490.0	4217.0	4669.0	3688.0	311.0	1947.0	76458.8	967339.0	1411083.122871
sub-3191	833.0	2022.0	1807.0	242.0	2587.0	4555.0	2694.0	925.0	4897.0	2929.0	3235.0	1527.0	3645.0	649.0	1324.0	1339.0	744.0	1330.0	1623.0	3975.0	1089.0	4465.0	3465.0	839.0	3400.0	7410.0	3957.0	3940.0	3033.0	306.0	2043.0	76827.5	970695.0	1316481.977243
sub-3257	549.0	1723.0	1025.0	860.0	3204.0	4028.0	4865.0	809.0	4071.0	3492.0	1743.0	1463.0	3737.0	858.0	1717.0	796.0	775.0	1211.0	714.0	3394.0	1308.0	3108.0	4030.0	499.0	5056.0	9966.0	5113.0	4320.0	1892.0	115.0	1495.0	77935.2	1400587.0	1796076.608219
sub-3260	1254.0	2519.0	2196.0	421.0	2694.0	5387.0	3814.0	790.0	5211.0	3190.0	2842.0	1270.0	4820.0	692.0	1795.0	1390.0	797.0	1628.0	1533.0	4909.0	1082.0	4283.0	4709.0	959.0	5956.0	11044.0	4806.0	5036.0	3747.0	350.0	2159.0	93284.1	1111691.0	1510075.588013
sub-3264	719.0	1904.0	1158.0	1084.0	2498.0	3141.0	2793.0	94.0	4336.0	2472.0	1874.0	1008.0	2374.0	924.0	1727.0	1117.0	555.0	1093.0	814.0	4088.0	571.0	4173.0	3252.0	869.0	3754.0	9678.0	3940.0	3661.0	2565.0	263.0	1192.0	69687.8	1219336.0	1566172.153937
sub-3270	1095.0	2597.0	1628.0	415.0	2646.0	4279.0	4067.0	770.0	4978.0	3344.0	2684.0	1457.0	4410.0	573.0	1653.0	1716.0	715.0	1536.0	1605.0	4491.0	1149.0	5297.0	3386.0	975.0	5141.0	10277.0	4052.0	4886.0	3005.0	331.0	2349.0	87506.0	1121967.0	1546965.060867
sub-3271	850.0	2396.0	1437.0	691.0	3553.0	5458.0	4263.0	706.0	5364.0	3132.0	2644.0	1490.0	4471.0	880.0	1697.0	1916.0	665.0	1892.0	1120.0	4891.0	1204.0	4944.0	3700.0	984.0	5319.0	9958.0	4750.0	5943.0	3234.0	470.0	2383.0	92404.2	1253052.0	1718214.935342
sub-3274	1651.0	3022.0	3251.0	3298.0	4607.0	6305.0	5536.0	163.0	7173.0	2919.0	3542.0	962.0	5680.0	434.0	1735.0	2308.0	1413.0	1369.0	3250.0	4979.0	1167.0	8472.0	6124.0	725.0	4829.0	10880.0	5442.0	6208.0	3494.0	385.0	2458.0	113780.0	1519589.0	1996588.304558
sub-3276	821.0	3928.0	1676.0	509.0	2554.0	5427.0	3264.0	562.0	4269.0	3096.0	2137.0	1494.0	3969.0	667.0	2087.0	1705.0	1039.0	1435.0	881.0	4976.0	1290.0	5442.0	2669.0	990.0	4390.0	11367.0	3983.0	5174.0	4102.0	328.0	2611.0	88839.8	1196149.0	1532799.083546
